INFO 2025-05-01 10:38:15,470 basehttp 187 "GET /admin/index/tousutype/ HTTP/1.1" 200 28937
INFO 2025-05-01 10:38:15,486 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:15,821 basehttp 187 "GET /admin/index/jiufentype HTTP/1.1" 301 0
INFO 2025-05-01 10:38:15,839 basehttp 187 "GET /admin/index/jiufentype/ HTTP/1.1" 200 29556
INFO 2025-05-01 10:38:15,856 basehttp 187 "GET /admin/jsi18n/ HTTP/1.1" 200 8603
INFO 2025-05-01 10:38:17,388 basehttp 187 "GET /static/admin/simpleui-x/fontawesome-free-6.2.0-web/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2025-05-01 10:38:20,352 basehttp 187 "POST /admin/logout/ HTTP/1.1" 200 161
INFO 2025-05-01 10:38:20,404 basehttp 187 "GET /admin/login/ HTTP/1.1" 200 4026
INFO 2025-05-01 10:38:20,429 basehttp 187 "GET /static/admin/simpleui-x/css/login.css?_=2.1 HTTP/1.1" 304 0
INFO 2025-05-01 10:38:20,429 basehttp 187 "GET /static/admin/simpleui-x/js/login.js?_=3.3 HTTP/1.1" 304 0
INFO 2025-05-01 10:38:20,429 basehttp 187 "GET /static/admin/simpleui-x/img/bg.svg HTTP/1.1" 304 0
INFO 2025-05-01 10:38:20,429 basehttp 187 "GET /static/admin/simpleui-x/particles/particles.js HTTP/1.1" 304 0
INFO 2025-05-01 10:38:20,429 basehttp 187 "GET /static/admin/simpleui-x/particles/app.js HTTP/1.1" 304 0
